Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BFA,Burkina Faso,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,92.47,90.60,90.92,87.37,88.76,81.57,82.93,88.92,88.51,89.07,97.79,87.82,84.49,83.91,82.10,78.74,90.19,105.36,113.08,,,
BGD,Bangladesh,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,197.51,196.14,207.90,194.99,204.15,234.02,235.58,233.16,212.53,212.71,221.72,245.26,243.94,232.62,257.15,229.97,267.18,252.58,235.81,,,
BGR,Bulgaria,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1183.12,992.62,961.00,1261.66,998.20,1039.20,1082.88,1042.53,944.42,798.88,747.86,766.26,703.54,706.77,654.80,630.42,604.66,612.93,552.21,,,
BHR,Bahrain,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1346.34,1171.57,1010.94,1280.55,1293.39,1307.01,1224.09,1316.41,1334.97,1253.16,1231.25,879.36,941.66,921.50,915.38,914.04,929.96,913.41,899.17,,,
BHS,"Bahamas, The",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,322.59,307.56,321.76,307.00,298.26,287.58,281.08,262.15,257.77,241.17,231.67,225.80,254.86,231.85,246.91,250.55,261.59,259.30,263.62,,,
BIH,Bosnia and Herzegovina,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,803.60,649.11,520.62,902.06,1012.90,1069.12,1255.30,1071.55,1126.75,1098.48,1096.36,1086.42,1096.32,1082.86,1108.27,,,
BLR,Belarus,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,1472.00,1355.70,1359.29,1429.71,1346.84,1196.19,1067.87,1000.87,906.17,851.16,807.11,773.16,751.84,707.17,669.93,594.57,556.92,,,
BLZ,Belize,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,394.45,411.57,363.61,363.30,359.20,360.40,289.78,353.15,324.36,484.17,491.01,482.75,232.03,220.91,215.29,217.00,213.12,220.03,212.04,,,
BMU,Bermuda,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,268.90,268.21,303.55,351.98,372.64,376.65,334.51,359.13,358.75,337.94,321.26,293.06,270.28,363.27,321.63,298.34,289.45,345.29,319.81,,,
BRA,Brazil,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,194.55,201.23,203.44,203.21,202.46,220.65,236.14,243.56,238.02,243.52,239.30,243.19,233.61,223.77,222.38,221.13,214.28,211.04,214.22,,,
BRB,Barbados,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,257.22,297.49,254.08,286.46,184.88,201.81,203.44,202.75,246.19,254.63,244.35,264.51,275.88,279.33,274.85,278.45,272.89,267.23,267.48,,,
BRN,Brunei Darussalam,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,505.37,443.79,423.09,405.83,380.81,371.65,366.53,386.39,400.08,298.31,411.71,380.45,314.47,307.70,306.37,291.83,262.94,520.48,588.17,,,
BTN,Bhutan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,136.86,190.11,215.44,180.47,198.28,219.23,251.98,311.09,286.50,268.09,258.84,250.82,285.31,238.37,219.14,297.26,172.01,200.40,242.36,,,
BWA,Botswana,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,226.78,208.20,310.35,324.16,312.81,300.87,253.90,235.84,254.44,224.10,255.20,249.96,237.34,212.37,205.56,209.02,195.91,194.47,197.27,,,
CAF,Central African Republic,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,82.28,85.80,96.60,99.54,99.56,92.87,96.74,96.18,93.23,95.29,94.44,86.45,86.96,89.90,89.01,86.92,88.97,87.06,87.83,,,
CAN,Canada,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,601.13,612.58,632.41,631.53,573.04,563.89,564.67,559.55,532.68,503.69,538.28,518.73,498.93,519.42,505.87,497.17,471.41,457.45,455.03,,,
CHE,Switzerland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,191.56,190.62,194.81,184.80,184.62,174.73,176.45,179.58,176.37,169.05,156.76,170.45,160.90,159.13,155.98,155.47,151.84,133.01,138.68,,,
CHI,Channel Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,401.93,351.89,324.10,322.21,337.22,331.13,350.09,378.32,378.89,402.75,372.25,323.68,328.80,318.31,332.24,321.66,316.66,323.01,324.98,,,
CHN,China,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1969.46,1894.26,1730.25,1620.62,1522.28,1490.28,1413.07,1295.23,1151.24,1067.90,1011.02,956.12,928.31,1033.73,1097.21,1079.37,1061.03,983.75,929.32,,,
CIV,Cote d'Ivoire,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,242.42,235.57,193.75,247.38,218.67,277.25,302.35,278.98,225.22,201.00,226.19,257.39,246.26,187.45,258.48,260.65,236.19,207.64,222.96,,,
CMR,Cameroon,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,68.55,45.55,160.58,170.37,171.13,189.37,190.20,126.47,120.12,110.47,118.13,112.66,108.21,115.51,116.12,106.04,118.53,165.63,138.38,,,
COG,"Congo, Rep.",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,139.87,145.45,176.28,174.74,257.38,180.33,189.50,260.30,83.28,90.34,107.20,84.86,66.63,101.37,171.74,134.45,115.39,127.54,146.98,,,
COK,Cook Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,283.25,275.89,285.34,287.61,286.81,240.51,239.28,248.09,250.75,224.21,220.08,210.28,202.91,201.44,179.09,188.23,183.52,176.91,182.33,,,
COM,Comoros,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,145.57,153.87,141.78,137.64,145.31,146.92,121.78,117.07,128.43,138.60,142.88,144.28,144.31,152.09,158.10,162.52,176.58,175.72,179.29,,,
CPV,Cape Verde,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,154.99,159.20,172.67,161.29,161.61,155.35,183.10,178.29,178.78,184.22,187.52,201.91,226.89,220.02,231.24,229.63,218.91,203.88,189.72,,,
CRI,Costa Rica,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,154.30,169.84,176.80,171.60,218.42,194.09,187.75,186.75,183.69,176.29,171.67,178.72,190.70,187.74,188.34,178.16,175.46,177.70,170.99,,,
CUB,Cuba,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
CUW,Curacao,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,442.95,448.02,455.76,485.94,470.74,436.40,444.97,447.38,462.97,449.13,433.60,416.76,418.67,453.31,411.77,405.25,403.96,406.98,410.18,,,
CZE,Czech Republic,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,938.07,886.82,839.45,803.41,790.72,781.71,760.05,668.78,718.55,699.96,663.67,652.24,625.93,579.28,551.56,524.60,483.29,,,
DEU,Germany,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0.03,448.36,423.69,419.34,404.99,396.55,402.44,385.17,375.50,338.89,331.39,336.64,326.86,329.44,322.73,313.00,303.66,286.82,283.80,,,
DJI,Djibouti,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,259.77,271.38,281.39,312.01,314.96,326.34,346.17,351.70,327.93,346.73,313.90,293.62,297.03,293.10,317.90,317.99,312.84,297.66,302.49,,,
DMA,Dominica,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,140.41,139.56,136.76,142.91,157.47,178.80,158.36,171.64,156.07,162.39,205.29,236.14,222.20,240.75,219.22,219.13,199.58,260.13,214.46,,,
DNK,Denmark,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,385.49,463.66,403.57,424.74,429.58,376.64,455.06,366.25,352.24,311.98,279.58,288.10,303.51,325.93,287.46,260.54,292.58,263.02,246.36,,,
DOM,Dominican Republic,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,347.02,364.06,364.23,361.92,375.62,452.36,460.03,442.76,423.82,401.12,404.73,399.86,401.61,403.04,369.69,334.32,318.17,301.07,289.42,,,
DZA,Algeria,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,502.07,524.67,520.48,533.02,563.13,594.93,582.81,526.49,608.21,507.01,473.54,442.45,455.47,433.95,398.95,454.39,446.21,455.17,438.83,,,
EAP,East Asia & Pacific,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1383.45,1358.93,1284.61,1234.97,1175.12,1159.36,1114.74,1048.88,933.19,885.46,853.87,828.78,810.69,889.59,941.64,931.08,912.95,862.16,827.14,,,
ECA,Europe & Central Asia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,1316.93,1287.77,1258.95,1239.68,1214.57,1109.19,1095.60,1067.40,1005.50,974.48,927.52,902.24,842.99,796.34,764.74,725.58,708.00,,,
ECU,Ecuador,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,297.93,277.36,369.61,399.66,215.22,353.81,361.84,266.03,316.87,323.62,309.91,329.39,332.73,345.10,345.24,332.99,320.39,325.10,263.19,,,
EGY,"Egypt, Arab Rep.",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,412.69,423.19,418.35,466.05,410.50,440.16,446.87,449.23,487.84,471.61,504.46,432.51,428.36,518.51,503.46,524.10,526.66,522.54,514.81,,,
EMU,Euro area,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,233.25,375.17,361.66,354.84,345.38,345.57,347.12,332.74,329.64,305.72,296.94,298.46,295.14,299.38,294.63,287.88,277.19,266.12,259.98,,,
ERI,Eritrea,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,83.53,131.55,141.22,198.37,217.92,228.72,258.59,246.09,229.18,282.52,295.34,286.58,211.83,215.67,170.99,,,
ESP,Spain,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,296.43,298.58,308.44,288.58,303.86,310.89,300.13,300.47,298.73,293.19,291.02,284.01,292.03,289.18,296.02,297.50,283.24,279.87,255.06,,,
EST,Estonia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,1994.39,1711.55,1743.21,1490.90,1594.29,1424.00,1244.81,1125.19,1032.63,977.63,876.61,924.69,876.45,783.93,688.05,757.72,731.68,,,
ETH,Ethiopia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,114.52,121.97,132.73,204.18,115.09,77.73,119.78,133.16,162.18,155.68,168.61,115.05,117.87,132.99,123.00,116.21,114.52,112.42,109.93,,,
FIN,Finland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,441.54,506.21,469.42,500.27,552.32,467.92,529.91,488.37,441.08,412.85,368.71,390.08,414.69,458.55,428.18,339.22,393.14,361.08,316.30,,,
FJI,Fiji,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,326.96,277.27,284.05,293.42,299.03,312.39,309.17,260.71,247.42,259.40,273.19,348.75,258.42,494.23,534.77,459.90,432.10,406.41,348.53,,,
FRA,France,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,282.16,299.30,273.82,270.15,250.87,261.70,268.70,244.51,254.97,224.04,212.75,220.48,215.42,217.26,213.27,210.58,200.50,191.92,193.47,,,
FRO,Faeroe Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,181.06,172.76,170.98,168.41,167.31,168.54,165.76,166.24,192.13,196.77,,,
GAB,Gabon,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,348.90,100.31,149.23,221.15,217.76,238.76,211.13,200.30,89.08,86.16,64.29,106.60,106.67,78.12,85.56,100.11,98.74,103.74,126.78,,,
GBR,United Kingdom,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,420.34,443.91,438.51,414.43,394.79,383.61,383.52,354.32,341.94,319.38,312.00,308.36,291.82,288.49,282.85,275.19,268.12,254.55,251.46,,,
GEO,Georgia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,1196.76,1098.53,749.45,276.51,439.11,433.50,470.14,400.27,410.30,325.34,277.25,278.01,273.35,300.64,319.13,311.54,262.82,,,
GHA,Ghana,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,292.94,286.29,279.10,303.13,319.05,327.94,332.58,354.56,339.42,332.74,308.13,325.42,333.69,325.20,294.88,268.07,336.19,325.45,267.60,,,
GIB,Gibraltar,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,212.72,210.90,204.22,199.72,213.79,208.04,201.19,193.36,179.16,175.20,172.95,170.51,167.57,161.16,157.48,154.98,151.21,151.80,145.04,,,
GMB,"Gambia, The",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,175.56,176.82,171.04,175.26,174.99,179.55,175.65,167.44,175.49,180.40,183.20,177.78,205.23,192.04,183.56,185.19,190.73,212.88,209.37,,,
GNB,Guinea-Bissau,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,206.04,198.89,199.53,209.19,202.71,196.72,178.56,180.56,176.39,185.81,139.31,139.03,157.97,188.34,192.54,189.87,193.65,195.14,186.63,,,
GNQ,Equatorial Guinea,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,161.90,272.94,264.50,118.09,40.12,126.41,87.01,127.07,59.93,118.82,100.65,423.15,569.92,604.35,340.53,312.47,311.23,258.65,234.59,,,
GRC,Greece,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,409.53,369.31,409.53,416.98,423.49,419.12,415.72,421.97,423.87,404.38,409.30,402.20,388.26,374.57,364.19,361.66,339.05,328.24,323.59,,,
GRD,Grenada,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,247.95,242.38,257.83,295.09,331.36,337.64,331.38,369.57,322.10,315.14,279.83,312.03,300.39,291.09,296.17,286.75,306.09,292.81,290.20,,,
GRL,Greenland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,171.09,163.98,186.27,168.52,195.79,195.46,176.25,192.90,211.65,207.91,222.84,233.38,236.25,220.05,224.03,235.35,225.76,223.40,199.36,,,
GUM,Guam,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1006.03,933.96,812.35,753.31,877.32,927.48,887.37,875.42,919.17,890.68,864.98,812.58,819.67,814.26,757.90,800.15,766.64,795.60,780.18,,,
HIC,High income,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,443.71,486.55,478.93,483.95,473.07,462.80,460.45,448.59,434.36,418.48,409.77,401.45,397.66,396.52,389.94,380.63,368.11,359.85,354.42,,,
HKG,"Hong Kong SAR, China",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,204.62,202.22,220.53,218.55,184.44,181.40,161.68,161.70,218.80,232.49,204.43,190.33,181.87,191.44,169.23,166.82,148.21,144.39,136.23,,,
HND,Honduras,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,199.49,201.13,217.07,189.24,224.55,250.88,247.21,247.23,268.64,279.22,280.17,309.72,318.25,338.31,346.58,338.03,304.23,353.81,326.62,,,
HRV,Croatia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,368.49,400.28,388.38,379.71,376.92,368.62,382.50,387.92,358.44,364.65,367.20,375.00,352.56,338.95,323.98,324.24,303.50,,,
HTI,Haiti,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,99.56,95.86,73.98,38.06,108.55,120.87,153.23,129.86,136.59,139.14,161.34,188.21,178.12,211.54,217.00,216.72,237.29,238.90,,,
HUN,Hungary,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,494.40,565.08,539.57,555.71,521.33,531.26,549.08,518.87,485.78,462.29,412.82,394.93,371.72,375.33,348.17,338.42,332.10,321.61,312.06,,,
IDN,Indonesia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,403.98,445.66,468.48,471.35,443.94,416.08,435.25,457.35,397.14,445.36,461.14,498.27,500.64,490.99,500.22,476.93,454.51,465.92,484.10,,,
IMY,Isle of Man,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,,,,,,,,,,,,,,,
IND,India,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,653.65,691.04,695.79,690.12,687.29,679.65,688.33,689.05,666.24,662.36,660.22,636.57,625.16,602.79,584.79,560.58,546.91,533.78,549.80,,,
IRL,Ireland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,492.34,525.76,480.24,468.14,462.53,424.49,417.78,391.35,376.60,357.04,332.34,336.15,313.17,294.67,285.13,268.95,254.77,248.47,252.92,,,
IRN,"Iran, Islamic Rep.",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,667.73,610.17,619.65,584.31,757.58,708.60,665.63,652.75,691.22,679.17,691.98,702.60,686.66,704.44,719.39,713.08,722.52,689.14,716.29,,,
IRQ,Iraq,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,,,,,,,,980.14,770.36,616.52,645.66,814.35,903.09,1606.50,1191.21,1182.00,1150.95,1129.90,1056.95,,,
ISL,Iceland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,317.19,310.59,300.47,312.09,303.99,293.11,318.86,289.31,271.65,256.86,257.57,240.71,248.35,242.09,231.62,212.67,206.03,203.72,191.52,,,
